title;authors;status;type;created;keywords;link
Планирование комплексов работ в условиях органических ресурсов с применением сетевых методов и ЭВМ;0;Авторская редакция;Печ.изд.;01.01.1986;;https://study.urfu.ru/Aid/ViewMeta/2918
"Конспект лекций по курсу ""Специальные краны"". раздел ""башенные краны"" спец. 0510 для студ. очного, вечернего и заоч. обуч.";0;Авторская редакция;Печ.изд.;01.01.1969;;https://study.urfu.ru/Aid/ViewMeta/2919
Экономика электротехнической промышленности;0;Авторская редакция;Печ.изд.;01.01.1983;"электротехническая промышленность;экономика электротехнической промышленности;электротехника;программы;методические указания;методические пособия;УПИ издания;контрольные задания";https://study.urfu.ru/Aid/ViewMeta/2920
Высшая математика;0;Авторская редакция;Печ.изд.;01.01.1992;"высшая математика;УПИ издания;методические указания;контрольные задания;программы;методические пособия";https://study.urfu.ru/Aid/ViewMeta/2921
Анализ производственно-хозяйственной и финансовой деятельности предприятий;0;Авторская редакция;Печ.изд.;01.01.1996;"финансовая деятельность предприятия;анализ финансовой деятельности предприятия;производственно-хозяйственная деятельность предприятия;анализпроизводственно-хозяйственной деятельности предприятия;экономика машиностроения;методические пособия;методические указания;курсовое проектирование;УГТУ издания";https://study.urfu.ru/Aid/ViewMeta/2922
Анализ производственно-хозяйственной и финансовой деятельности предприятий;0;Авторская редакция;Печ.изд.;01.01.1996;"финансовая деятельность предприятия;анализ финансовой деятельности предприятия;производственно-хозяйственная деятельность предприятия;анализпроизводственно-хозяйственной деятельности предприятия;экономика машиностроения;методические пособия;методические указания;курсовое проектирование;УГТУ издания";https://study.urfu.ru/Aid/ViewMeta/2923
Расчет бизнес-плана с применением компьютерной программы PROJECT EXPERT;0;Авторская редакция;Печ.изд.;01.01.1999;"промышленные предприятия;планирование;методические пособия;экономика промышленности;бизнес-план;расчет бизнес-плана;PROJECT EXPERT;прикладные программы;пакеты прикладных программ;методические указания;УГТУ издания";https://study.urfu.ru/Aid/ViewMeta/2924
Информатика;0;Авторская редакция;Печ.изд.;01.01.2001;"методические пособия;информатика;вычислительная техника;контрольные задания;рабочая программа;методические указания;УГТУ издания";https://study.urfu.ru/Aid/ViewMeta/2925
Экономика машиностроительного производства: производ. ситуации и задания к практ. занятиям и контр. работам для студ. всех форм техн. спец.;0;Авторская редакция;Печ.изд.;01.01.1997;;https://study.urfu.ru/Aid/ViewMeta/2926
Физика твердого тела;0;Авторская редакция;Печ.изд.;01.01.1997;"физика твердого тела;лабораторные работы;УГТУ издания;методические пособия;методические указания;полупроводники;полупроводниковые резисторы;плутоний;дозиметрия;ионизирующие излучения;радиоактивные изотопы;гамма-излучения;радиоактивные изотопы";https://study.urfu.ru/Aid/ViewMeta/2927
